species
Catharacta_maccormicki
Oceanites_oceanicus
Puffinus_griseus
Larus_dominicanus
Progne_elegans
Myiopsitta_monachus
Cistothorus_platensis
Paroaria_coronata
Paroaria_capitata
Sicalis_luteola
Herpsilochmus_rufimarginatus
Phyllomyias_burmeisteri
Nandayus_nenday
Xenops_minutus
Anas_bahamensis
Pygochelidon_cyanoleuca
Agapornis_roseicollis
Lochmias_nematura
Piranga_flava
Zenaida_auriculata
Phaethon_rubricauda
Zonotrichia_capensis
Pterodroma_inexpectata
Philydor_rufum
Aratinga_mitrata
Myiopagis_caniceps
Sicalis_flaveola
Contopus_cinereus
Anthus_lutescens
Vanellus_chilensis
Falco_femoralis
Tyrannus_savana
Machetornis_rixosa
Brotogeris_chiriri
Progne_tapera
Pelagodroma_marina
Myiophobus_fasciatus
Geotrygon_violacea
Caprimulgus_rufus
Emberizoides_herbicola
Pseudoscops_clamator
Asio_stygius
Botaurus_pinnatus
Fregata_magnificens
Platalea_ajaja
Procellaria_parkinsoni
Sarkidiornis_melanotos
Tigrisoma_fasciatum
Xenops_rutilans
Platyrinchus_mystaceus
Nyctiphrynus_ocellatus
Pardirallus_maculatus
Lathrotriccus_euleri
Parula_pitiayumi
Myiodynastes_chrysocephalus
Ardea_cocoi
Megaceryle_torquata
Synallaxis_albescens
Saltator_coerulescens
Buteogallus_meridionalis
Buteo_albicaudatus
Colonia_colonus
Dysithamnus_mentalis
Caprimulgus_maculicaudus
Phalacrocorax_brasilianus
Estrilda_astrild
Pterodroma_cookii
Sittasomus_griseicapillus
Molothrus_bonariensis
Nomonyx_dominicus
Charadrius_collaris
Parabuteo_unicinctus
Aramus_guarauna
Jabiru_mycteria
Rynchops_niger
Jacana_jacana
Leptopogon_amaurocephalus
Cyclarhis_gujanensis
Oxyruncus_cristatus
Accipiter_bicolor
Campylorhamphus_trochilirostris
Rostrhamus_sociabilis
Camptostoma_obsoletum
Tersina_viridis
Megascops_choliba
Pachyramphus_polychopterus
Dromococcyx_phasianellus
Pitangus_sulphuratus
Aramides_cajanea
Milvago_chimachima
Tigrisoma_lineatum
Tachyphonus_rufus
Pterodroma_arminjoniana
Nyctibius_griseus
Anthracothorax_nigricollis
Progne_chalybea
