id,avibase id,rank,common_name,order,family,subfamily,genus,Species_Avonet,Species_BirdTree,Species_BirdLife,Species,annotation,status_hawaiian,status_introduced,status_nonbreeding,status_misplaced,Species_Iridescence,Body_Feathers,Body_Male,Body_Female,Flight_Feathers,Flight_Male,Flight_Female,NonFlight_Feathers,NonFlight_Male,NonFlight_Female,Dorsal_Feathers,Dorsal_Male,Dorsal_Female,Breeding_Plumage,Male_Iridescence,Male_Plumage,Male_Hue,Male_Head,Male_Neck_Throat,Male_Breast_Underparts,Male_Back_Upperparts,Male_Wings,Male_Rump,Male_Tail,Male_Text,Male_ID,Female_Iridescence,Female_Plumage,Female_Hue,Female_Head,Female_Neck_Throat,Female_Breast_Underparts,Female_Back_Upperparts,Female_Wings,Female_Rump,Female_Tail,Female_Text,Female_ID,Notes,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
354,E202D7602E6A0B16,species,Spotted Rail,Gruiformes,Rallidae,,Pardirallus,Pardirallus maculatus,Pardirallus maculatus,Pardirallus maculatus,Pardirallus maculatus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,43.4,28.9,4.5,8.1,38.7,121.8,30.9,91.9,25.1,48.2,171,Dunning,NA,NO,NA,NA,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,-37.4,23.07,-12.71,-54.59,7546722.29
345,C25C4DCB22D0BBB3,species,Uniform Crake,Gruiformes,Rallidae,,Amaurolimnas,Amaurolimnas concolor,Amaurolimnas concolor,Amaurolimnas concolor,Amaurolimnas concolor,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,28.6,15.5,3.5,6.6,39.1,123.8,33.5,90.2,27.1,47.8,133,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Omnivore,Terrestrial,-24.93,18.8,-2.18,-68.11,1702915.03
343,4EAFBF4CC8251EED,species,Rufous-necked Wood-Rail,Gruiformes,Rallidae,,Aramides,Aramides axillaris,Aramides axillaris,Aramides axillaris,Aramides axillaris,Monotypic.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,40.5,21.8,5.1,10,53.1,166.2,40.3,126,24.2,53.5,292,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Aquatic predator,Terrestrial,-7.07,24.7,10.76,-78.66,393931.62
11991,29D34534EA987CD3,species,Russet-naped Wood-Rail,Gruiformes,Rallidae,,Aramides,Aramides albiventris,NA,Aramides albiventris,Aramides albiventris,Formerly included in Aramides cajaneus.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,51.3,27.9,5.3,11.1,63,178.7,20.8,157.9,11.6,62.8,514,Updated_literature,Dunning (2021),YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Aramides cajaneus,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,8.51,23.12,16.37,-89.05,535083.31
9851,A52752EF8B6E8F1B,species,Gray-cowled Wood-Rail,Gruiformes,Rallidae,,Aramides,Aramides cajaneus,Aramides cajanea,Aramides cajaneus,Aramides cajaneus,Formerly Aramides cajanea.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,51.3,27.9,5.3,11.1,63,178.7,20.8,157.9,11.6,62.8,397,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,-35.25,12.46,-9.4,-57.58,13038120.14
11191,4185F617A3112CFA,species,Ridgway's Rail,Gruiformes,Rallidae,,Rallus,Rallus obsoletus,NA,Rallus obsoletus,Rallus obsoletus,Formerly considered conspecific with Rallus longirostris.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,62.1,37.5,5.7,8.4,50.2,147.8,34.8,112.9,23.5,55.8,342,Updated_literature,Dunning (2021),NO,NA,NA,Coastal,1,2,Carnivore,Aquatic predator,Terrestrial,18.46,38.27,28.69,-112.34,57343.01
11201,8C41ABD301BF7EBA,species,Aztec Rail,Gruiformes,Rallidae,,Rallus,Rallus tenuirostris,NA,Rallus tenuirostris,Rallus tenuirostris,Formerly considered conspecific with Rallus elegans.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,61.9,22.2,3.9,6.3,50.2,153,36.5,116.5,23.9,64.8,306,Updated_literature,Dunning (2021),NO,NA,NA,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,18.08,22.03,20.18,-100.98,189445.5
12391,89DB7F74E2C61252,species,Mangrove Rail,Gruiformes,Rallidae,,Rallus,Rallus longirostris,Rallus longirostris,Rallus longirostris,Rallus longirostris,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.7,30.7,4.8,8.4,41.2,133.2,23.7,107.6,18.1,44.2,259.35,Dunning,NA,NO,NA,NA,Coastal,1,2,Carnivore,Aquatic predator,Terrestrial,-28.62,12.49,-3.5,-51.17,359148.15
11211,E893F98D6F17B578,species,Clapper Rail,Gruiformes,Rallidae,,Rallus,Rallus crepitans,NA,Rallus crepitans,Rallus crepitans,Formerly considered conspecific with Rallus longirostris.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,64.7,20.9,3.8,6.2,48.4,148,33,115,22.3,61,306,Updated_literature,Dunning (2021),NO,NA,NA,Wetland,1,2,Carnivore,Aquatic predator,Terrestrial,9,43.46,25.57,-80.32,227121.95
341,0BB84341D8AE9B6E,species,King Rail,Gruiformes,Rallidae,,Rallus,Rallus elegans,Rallus elegans,Rallus elegans,Rallus elegans,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,59.1,35.6,4.4,8.1,53.2,158.4,38.6,118.2,24.6,58,313.31,Dunning,NA,NO,NA,NA,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,17.85,47.12,36.43,-88.8,3180557.02
